time,1,2,3
0,59.66666666666667,61.66666666666667,67.66666666666667
1,63.66666666666667,67.66666666666667,72.66666666666667
2,63.66666666666667,70.66666666666667,74.66666666666667
3,64.66666666666667,70.66666666666667,74.66666666666667
4,64.66666666666667,70.66666666666667,74.66666666666667
5,64.66666666666667,69.66666666666667,74.66666666666667
6,64.66666666666667,69.66666666666667,74.66666666666667
7,64.66666666666667,69.66666666666667,75.66666666666667
8,64.66666666666667,70.66666666666667,74.66666666666667
9,64.66666666666667,71.66666666666667,75.66666666666667
10,65.66666666666667,71.66666666666667,75.66666666666667
11,64.66666666666667,71.66666666666667,75.66666666666667
12,65.66666666666667,71.66666666666667,75.66666666666667
13,64.66666666666667,69.66666666666667,76.66666666666667
14,64.66666666666667,71.66666666666667,75.66666666666667
15,65.66666666666667,71.66666666666667,75.66666666666667
16,65.66666666666667,71.66666666666667,75.66666666666667
17,65.66666666666667,71.66666666666667,75.66666666666667
18,64.66666666666667,71.66666666666667,75.66666666666667
19,65.66666666666667,71.66666666666667,75.66666666666667
20,66.66666666666667,71.66666666666667,75.66666666666667
21,65.66666666666667,72.66666666666667,76.66666666666667
22,66.66666666666667,71.66666666666667,75.66666666666667
23,66.66666666666667,71.66666666666667,76.66666666666667
24,66.66666666666667,72.66666666666667,75.66666666666667
25,66.66666666666667,72.66666666666667,76.66666666666667
26,66.66666666666667,72.66666666666667,76.66666666666667
27,65.66666666666667,73.66666666666667,76.66666666666667
28,66.66666666666667,72.66666666666667,76.66666666666667
29,67.66666666666667,72.66666666666667,77.66666666666667
30,66.66666666666667,72.66666666666667,76.66666666666667
31,66.66666666666667,73.66666666666667,76.66666666666667
32,67.66666666666667,72.66666666666667,77.66666666666667
33,67.66666666666667,73.66666666666667,77.66666666666667
34,67.66666666666667,73.66666666666667,76.66666666666667
35,67.66666666666667,73.66666666666667,77.66666666666667
36,67.66666666666667,73.66666666666667,77.66666666666667
37,67.66666666666667,73.66666666666667,77.66666666666667
38,67.66666666666667,73.66666666666667,77.66666666666667
39,68.66666666666667,73.66666666666667,77.66666666666667
40,68.66666666666667,73.66666666666667,77.66666666666667
41,68.66666666666667,73.66666666666667,78.66666666666667
42,67.66666666666667,73.66666666666667,77.66666666666667
43,67.66666666666667,73.66666666666667,76.66666666666667
44,68.66666666666667,74.66666666666667,78.66666666666667
45,67.66666666666667,73.66666666666667,78.66666666666667
46,69.66666666666667,74.66666666666667,77.66666666666667
47,67.66666666666667,74.66666666666667,78.66666666666667
48,68.66666666666667,74.66666666666667,78.66666666666667
49,69.66666666666667,74.66666666666667,78.66666666666667
50,68.66666666666667,74.66666666666667,78.66666666666667
51,69.66666666666667,73.66666666666667,78.66666666666667
52,69.66666666666667,74.66666666666667,79.66666666666667
53,69.66666666666667,75.66666666666667,78.66666666666667
54,69.66666666666667,74.66666666666667,79.66666666666667
55,69.66666666666667,74.66666666666667,79.66666666666667
56,69.66666666666667,75.66666666666667,78.66666666666667
57,69.66666666666667,74.66666666666667,79.66666666666667
58,69.66666666666667,74.66666666666667,78.66666666666667
59,69.66666666666667,75.66666666666667,79.66666666666667
60,69.66666666666667,75.66666666666667,79.66666666666667
61,68.66666666666667,75.66666666666667,78.66666666666667
62,69.66666666666667,74.66666666666667,79.66666666666667
63,70.66666666666667,75.66666666666667,79.66666666666667
64,70.66666666666667,75.66666666666667,80.66666666666667
65,70.66666666666667,76.66666666666667,79.66666666666667
66,71.66666666666667,76.66666666666667,79.66666666666667
67,71.66666666666667,76.66666666666667,80.66666666666667
68,70.66666666666667,76.66666666666667,80.66666666666667
69,71.66666666666667,76.66666666666667,79.66666666666667
70,71.66666666666667,76.66666666666667,80.66666666666667
